feature,auc_without,importance
daily_activity_count_peer_zscore,0.8372033324964111,0.031345679214806466
daily_activity_count_self_zscore,0.8392599860528638,0.029289025658353784
file_access_count_self_zscore,0.8536161919939268,0.014932819717290768
email_count_self_zscore,0.8536161919939268,0.014932819717290768
file_access_count_peer_zscore,0.8670379421069354,0.0015110696042821559
email_count_peer_zscore,0.8670379421069354,0.0015110696042821559
logon_count_peer_zscore,0.8679162122405245,0.0006327994706930573
unique_ips,0.8722073067682928,-0.003658295057075267
logon_count_self_zscore,0.8762494841748003,-0.0077004724635827415
after_hours_activity_self_zscore,0.8769839050324163,-0.008434893321198733
after_hours_activity_peer_zscore,0.8779222682504705,-0.009373256539252917
